Hour,User,Store,rating
0.043478260869565216,1,139,0.8
0.043478260869565216,1,94,0.7
0.13043478260869565,1,103,0.927027027027027
0.391304347826087,2,147,0.8
0.391304347826087,2,272,0.7
0.4782608695652174,2,51,0.7
0.30434782608695654,3,83,0.8
0.43478260869565216,3,198,0.7
0.5652173913043478,3,153,1.0
0.30434782608695654,4,34,0.8
0.5652173913043478,4,208,0.7
0.782608695652174,4,262,0.8488530161427357
0.13043478260869565,5,103,0.8
0.34782608695652173,5,358,0.7
0.8260869565217391,5,117,1.0
0.2608695652173913,6,325,0.8
0.43478260869565216,6,159,0.7
0.5217391304347826,6,103,0.7
0.2608695652173913,7,255,0.8
0.34782608695652173,7,49,0.7
0.5217391304347826,7,280,0.7
0.13043478260869565,8,343,0.8
0.21739130434782608,8,4,1.0
0.43478260869565216,8,201,1.0
0.0,9,139,0.8
0.2608695652173913,9,151,0.7
0.4782608695652174,9,220,1.0
0.6086956521739131,9,195,0.7910344827586206
0.6086956521739131,9,195,1.0
0.043478260869565216,10,229,0.8
0.08695652173913043,10,137,0.7
0.17391304347826086,10,260,1.0
0.08695652173913043,11,94,0.8
0.2608695652173913,11,89,0.7
0.8260869565217391,11,79,0.7
0.21739130434782608,12,326,0.8
0.5217391304347826,12,241,0.7
0.5217391304347826,12,150,0.7097035040431267
0.21739130434782608,13,195,0.8
0.5217391304347826,13,79,0.7
0.9130434782608695,13,153,0.7
0.21739130434782608,14,309,0.8
0.34782608695652173,14,229,0.7
0.5652173913043478,14,272,1.0
0.5217391304347826,15,119,0.8
0.5217391304347826,15,48,0.7
0.5652173913043478,15,63,0.7
0.0,16,1,0.8
0.17391304347826086,16,366,0.7
0.43478260869565216,16,11,1.0
0.17391304347826086,17,348,0.8
0.5652173913043478,17,229,0.7
0.6521739130434783,17,4,0.7
0.30434782608695654,18,233,0.8
0.34782608695652173,18,8,0.7
0.6956521739130435,18,332,0.8095808383233533
0.5217391304347826,19,133,0.8
0.5217391304347826,19,167,1.0
0.5652173913043478,19,35,1.0
0.6086956521739131,19,257,0.7
0.6086956521739131,19,49,0.8182054616384915
0.043478260869565216,20,102,0.8
0.08695652173913043,20,196,0.7
0.6521739130434783,20,257,0.7588235294117647
0.6956521739130435,20,197,0.7
0.30434782608695654,21,153,0.8
0.5652173913043478,21,64,0.7
0.6086956521739131,21,340,0.7
0.043478260869565216,22,229,0.8
0.6956521739130435,22,1,1.0
0.6956521739130435,22,67,0.7
0.21739130434782608,23,4,0.8
0.21739130434782608,23,220,0.7
0.30434782608695654,23,28,1.0
0.43478260869565216,24,280,0.8
0.43478260869565216,24,9,1.0
0.6521739130434783,24,225,0.7
0.08695652173913043,25,52,0.8
0.43478260869565216,25,25,1.0
1.0,25,206,0.7190607734806629
0.08695652173913043,26,145,0.8
0.5652173913043478,26,151,1.0
0.5652173913043478,26,188,0.7
0.34782608695652173,27,220,0.8
0.5217391304347826,27,196,0.7
0.6086956521739131,27,103,1.0
0.21739130434782608,28,233,0.8
0.6086956521739131,28,178,1.0
0.6956521739130435,28,248,0.7535369774919614
0.043478260869565216,29,28,0.8
0.5652173913043478,29,201,1.0
1.0,29,137,1.0
0.08695652173913043,30,309,0.8
0.21739130434782608,30,79,1.0
0.21739130434782608,30,198,0.9143437077131258
0.21739130434782608,31,308,0.8
0.5217391304347826,31,332,1.0
0.5652173913043478,31,102,1.0
0.0,32,108,0.8
0.4782608695652174,32,225,0.7
0.6521739130434783,32,220,0.7
0.30434782608695654,33,135,0.8
0.34782608695652173,33,229,1.0
0.4782608695652174,33,232,1.0
0.4782608695652174,33,79,1.0
0.30434782608695654,34,299,0.8
0.4782608695652174,34,181,1.0
0.4782608695652174,34,272,1.0
0.08695652173913043,35,201,0.8
0.5217391304347826,35,188,0.7
0.6956521739130435,35,327,1.0
0.13043478260869565,36,191,0.8
0.21739130434782608,36,337,0.7
0.7391304347826086,36,8,0.7
0.21739130434782608,37,89,0.8
0.4782608695652174,37,153,1.0
