Hour,User,Store,previous_store,rating
0.043478260869565216,1,139,[],0.8
0.043478260869565216,1,94,[139],0.7
0.13043478260869565,1,103,[139  94],0.927027027027027
0.39130434782608703,2,147,[51],0.8
0.39130434782608703,2,272,[ 51 147],0.7
0.4782608695652174,2,51,[],0.7
0.3043478260869565,3,83,[198],0.8
0.43478260869565216,3,198,[],0.7
0.5652173913043478,3,153,[198  83],1.0
0.3043478260869565,4,34,[262],0.8
0.5652173913043478,4,208,[262  34],0.7
0.7826086956521741,4,262,[],0.8488530161427357
0.13043478260869565,5,103,[117 358],0.8
0.3478260869565217,5,358,[117],0.7
0.8260869565217391,5,117,[],1.0
0.2608695652173913,6,325,[],0.8
0.43478260869565216,6,159,[325],0.7
0.5217391304347826,6,103,[325 159],0.7
0.2608695652173913,7,255,[],0.8
0.3478260869565217,7,49,[255 280],0.7
0.5217391304347826,7,280,[255],0.7
0.13043478260869565,8,343,[],0.8
0.21739130434782608,8,4,[343],1.0
0.43478260869565216,8,201,[343   4],1.0
0.0,9,139,[220],0.8
0.2608695652173913,9,151,[220 139 195],0.7
0.4782608695652174,9,220,[],1.0
0.6086956521739131,9,195,[220 139],0.7910344827586206
0.6086956521739131,9,195,[220 139 195 151],1.0
0.043478260869565216,10,229,[],0.8
0.08695652173913042,10,137,[229],0.7
0.17391304347826084,10,260,[229 137],1.0
0.08695652173913042,11,94,[79],0.8
0.2608695652173913,11,89,[79 94],0.7
0.8260869565217391,11,79,[],0.7
0.21739130434782608,12,326,[241 150],0.8
0.5217391304347826,12,241,[],0.7
0.5217391304347826,12,150,[241],0.7097035040431267
0.21739130434782608,13,195,[153],0.8
0.5217391304347826,13,79,[153 195],0.7
0.9130434782608696,13,153,[],0.7
0.21739130434782608,14,309,[272],0.8
0.3478260869565217,14,229,[272 309],0.7
0.5652173913043478,14,272,[],1.0
0.5217391304347826,15,119,[],0.8
0.5217391304347826,15,48,[119  63],0.7
0.5652173913043478,15,63,[119],0.7
0.0,16,1,[366  11],0.8
0.17391304347826084,16,366,[],0.7
0.43478260869565216,16,11,[366],1.0
0.17391304347826084,17,348,[],0.8
0.5652173913043478,17,229,[348   4],0.7
0.6521739130434783,17,4,[348],0.7
0.3043478260869565,18,233,[],0.8
